Feature,Correlation_with_RUL,Abs_Correlation
Sensor_6_lag_1,-0.12912198985917067,0.12912198985917067
Sensor_6,-0.1283484484741387,0.1283484484741387
Sensor_11_rolling_std_10,-0.09448787680806568,0.09448787680806568
Sensor_14_rolling_std_5,-0.08963908346511033,0.08963908346511033
Sensor_13_rolling_std_10,-0.0831161967768929,0.0831161967768929
Sensor_12_rolling_std_10,-0.08141007797714725,0.08141007797714725
Sensor_9_rolling_std_5,-0.07489775924196759,0.07489775924196759
Sensor_4_rolling_std_10,-0.07436294531266434,0.07436294531266434
Sensor_20_rolling_std_10,-0.07082559348294708,0.07082559348294708
Sensor_17_rolling_std_10,-0.05845945774222772,0.05845945774222772
Sensor_8_rolling_std_10,-0.051985703803392284,0.051985703803392284
Sensor_15_rolling_std_10,-0.04706517588087526,0.04706517588087526
Sensor_7_rolling_std_10,-0.046983570173162514,0.046983570173162514
Sensor_13_rolling_std_5,-0.04073657092756272,0.04073657092756272
Sensor_2_rolling_std_10,-0.03501872146574415,0.03501872146574415
Sensor_14_rolling_std_3,-0.03431675978033314,0.03431675978033314
Sensor_9_delta,-0.03280582514185619,0.03280582514185619
